transport_id;transport_type;average_speed;available;max_capacity
1001;sea;39.62;true;26541681.47
1002;sea;33.08;false;40754259.21
1003;sea;35.23;true;39349085.08
1004;sea;38.13;false;19424444.02
1005;sea;36.42;true;36569805.42
1006;sea;30.46;true;15517786.53
1007;sea;34.92;false;31597212.77
1008;sea;36.62;true;40282259.98
1009;sea;38.43;false;11014624.33
1010;sea;33.74;true;37533515.05
1011;sea;34.54;true;29867812.55
1012;sea;38.54;false;15928128.92
1013;sea;37.52;true;42998153.18
1014;sea;36.17;true;19069173.79
1015;sea;30.13;false;24899937.04
1016;sea;39.61;false;25681590.75
1017;sea;32.36;false;30736851.53
1018;sea;30.76;false;34418421.01
1019;sea;37.66;false;5609410.63
1020;sea;32.92;false;49248904.75
1021;sea;30.53;true;5116380.86
1022;sea;36.35;true;49276717.40
1023;sea;34.02;false;39853355.42
1024;sea;38.98;false;38414233.65
1025;sea;32.35;false;18763722.29
1026;sea;39.48;true;24028292.50
1027;sea;31.24;false;11077849.78
1028;sea;38.64;false;26886742.48
1029;sea;34.77;true;43708695.58
1030;sea;37.17;true;13097027.20
1031;sea;33.45;true;44310356.96
1032;sea;31.56;false;10645829.20
1033;sea;30.73;true;30538136.22
1034;sea;33.24;false;33746823.93
1035;sea;36.05;true;48038005.96
1036;sea;32.27;true;43337945.78
1037;sea;32.12;true;34997773.46
1038;sea;35.41;false;44308744.06
1039;sea;38.54;true;30716776.44
1040;sea;39.34;true;21505317.18
1041;sea;33.38;false;24928606.34
1042;sea;38.53;true;13497654.47
1043;sea;35.45;false;40340091.00
1044;sea;38.39;false;32739751.62
1045;sea;35.50;false;13480469.68
1046;sea;37.96;true;30794570.27
1047;sea;33.58;false;5481401.77
1048;sea;38.22;true;31700442.73
1049;sea;30.19;true;41118194.05
1050;sea;38.97;true;14391519.45
1051;sea;38.82;true;28328117.62
1052;sea;39.53;false;28599866.31
1053;sea;31.21;false;40452904.01
1054;sea;30.66;false;15605689.92
1055;sea;38.66;true;33718134.37
1056;sea;31.66;false;38322821.77
1057;sea;37.39;false;25363526.38
1058;sea;38.22;false;43798585.19
1059;sea;32.13;false;23384571.42
1060;sea;30.44;false;22064369.38
1061;sea;35.71;true;48231544.64
1062;sea;38.87;true;26714420.82
1063;sea;38.56;false;6116081.40
1064;sea;32.15;false;36804591.21
1065;sea;37.91;false;16849550.10
1066;sea;35.13;false;8128103.84
1067;sea;35.27;true;42692156.61
1068;sea;30.38;true;35124551.72
1069;sea;39.25;false;22822367.68
1070;sea;36.04;false;41186782.57
1071;sea;32.75;false;46870309.46
1072;sea;33.16;true;43223588.85
1073;sea;35.56;true;49774150.83
1074;sea;30.02;false;16448884.46
1075;sea;31.37;false;5953967.35
1076;sea;38.36;true;27610155.88
1077;sea;32.57;false;38614422.35
1078;sea;30.86;false;27563531.67
1079;sea;34.01;false;28108214.48
1080;sea;30.79;false;9056715.08
1081;sea;31.81;true;21364507.99
1082;sea;34.99;true;49028090.01
1083;sea;39.52;false;6884960.00
1084;sea;34.15;true;35619490.90
1085;sea;31.81;true;38742051.27
1086;sea;32.36;true;38865797.74
1087;sea;30.03;true;7159981.83
1088;sea;38.68;true;22330721.75
1089;sea;39.18;false;35455990.61
1090;sea;37.19;true;21366165.01
1091;sea;38.67;false;13767152.56
1092;sea;34.79;false;37551427.79
1093;sea;30.98;false;14106521.13
1094;sea;30.24;true;38421030.00
1095;sea;39.22;false;45490947.55
1096;sea;36.70;false;8322475.76
1097;sea;34.97;false;41894143.00
1098;sea;30.41;false;39098119.10
1099;sea;35.51;false;34170508.50
1100;sea;37.92;false;38192115.69
1101;sea;37.01;true;12139156.09
1102;sea;39.38;false;6790668.61
1103;sea;31.80;false;16207412.39
1104;sea;34.45;false;35403337.47
1105;sea;36.96;false;29520816.96
1106;sea;31.28;false;32473063.44
1107;sea;38.33;true;14191337.47
1108;sea;31.58;false;19015156.73
1109;sea;36.21;false;38151215.20
1110;sea;34.80;true;17361043.40
1111;sea;32.46;false;29691799.06
1112;sea;35.49;true;20053679.95
1113;sea;34.51;false;27402584.05
1114;sea;34.81;true;15060886.84
1115;sea;33.66;false;26202680.46
1116;sea;38.42;true;10264477.31
1117;sea;33.82;true;11645169.35
1118;sea;34.92;true;20860781.71
1119;sea;35.39;false;27426435.98
1120;sea;36.48;true;37965831.43
1121;sea;35.43;true;32222740.64
1122;sea;36.24;true;47457249.53
1123;sea;31.65;true;36251824.93
1124;sea;30.42;false;38940289.20
1125;sea;34.14;true;9288641.40
1126;sea;39.80;true;24183430.10
1127;sea;30.25;false;21732897.66
1128;sea;34.25;false;14769420.72
1129;sea;33.35;false;12839674.81
1130;sea;32.42;false;35058699.56
1131;sea;32.04;false;16722100.26
1132;sea;31.91;true;15800109.37
1133;sea;32.32;true;47341067.01
1134;sea;30.76;false;40096668.18
1135;sea;39.32;false;27610065.32
1136;sea;33.23;true;10729986.74
1137;sea;37.11;false;37135487.95
1138;sea;37.21;false;11644100.86
1139;sea;31.08;true;43954257.38
1140;sea;34.43;false;27870481.27
1141;sea;39.33;true;18100376.34
1142;sea;32.31;true;42682556.45
1143;sea;30.37;true;30696631.51
1144;sea;30.88;false;28135184.81
1145;sea;38.48;true;20517823.76
1146;sea;38.01;false;16265282.34
1147;sea;36.52;true;46739973.67
1148;sea;36.80;false;32056712.92
1149;sea;31.31;false;42286687.98
1150;sea;39.88;true;24448859.97
1151;sea;34.06;true;15852084.67
1152;sea;34.11;false;28520193.31
1153;sea;38.13;true;7281762.44
1154;sea;35.00;true;44161637.36
1155;sea;31.89;false;20903572.06
1156;sea;35.78;false;27696537.70
1157;sea;38.04;true;21624841.48
1158;sea;33.70;true;10948893.53
1159;sea;32.97;false;49585140.39
1160;sea;32.57;true;18232388.31
1161;sea;35.77;true;19357256.19
1162;sea;33.15;false;39671986.63
1163;sea;38.21;true;22025093.56
1164;sea;33.02;true;34315925.18
1165;sea;38.71;true;49958729.02
1166;sea;38.90;true;49669116.70
1167;sea;33.33;true;18337433.88
1168;sea;31.37;false;44124603.52
1169;sea;32.55;false;49630393.65
1170;sea;30.12;true;16929289.48
1171;sea;32.84;false;48104847.64
1172;sea;35.07;false;23260229.16
1173;sea;30.01;false;5943495.91
1174;sea;36.81;true;12546703.56
1175;sea;30.46;false;21993764.23
1176;sea;30.69;false;23806217.90
1177;sea;31.62;true;21137564.69
1178;sea;32.67;true;37202401.12
1179;sea;33.85;false;38396411.93
1180;sea;32.87;true;22355461.90
1181;sea;39.30;false;36827216.76
1182;sea;38.20;true;24750360.68
1183;sea;34.92;true;48314129.62
1184;sea;37.76;false;20470908.69
1185;sea;37.78;true;27295513.12
1186;sea;38.78;false;10112781.30
1187;sea;33.53;true;28846853.84
1188;sea;37.41;false;16002292.74
1189;sea;36.22;false;18265840.56
1190;sea;39.25;true;42200363.92
1191;sea;31.77;false;22827294.75
1192;sea;36.36;true;15725059.40
1193;sea;34.67;true;19647286.48
1194;sea;32.13;true;11274734.42
1195;sea;38.48;false;22425945.05
1196;sea;37.12;true;20581019.51
1197;sea;32.19;true;42451114.39
1198;sea;39.39;false;10429892.00
1199;sea;38.91;false;29087677.05
1200;sea;30.84;true;20132770.01
1201;sea;35.27;true;36420809.30
1202;sea;33.83;true;42143552.30
1203;sea;31.34;true;17218013.02
1204;sea;37.27;true;36241284.10
1205;sea;36.83;true;43458504.05
1206;sea;35.16;true;11435432.02
1207;sea;38.11;false;15278422.45
1208;sea;31.23;true;25250894.45
1209;sea;39.23;false;29896296.66
1210;sea;37.63;false;46925912.88
1211;sea;34.17;true;19424420.32
1212;sea;33.56;true;25851012.76
1213;sea;36.02;false;11593394.32
1214;sea;33.41;false;18143651.47
1215;sea;39.83;true;30738601.83
1216;sea;39.12;false;22873678.25
1217;sea;36.53;false;48139765.83
1218;sea;30.54;false;44160230.97
1219;sea;38.09;false;17005837.56
1220;sea;33.03;true;29065130.67
1221;sea;38.56;true;32992299.32
1222;sea;38.46;true;9951976.67
1223;sea;32.74;true;36662972.79
1224;sea;37.14;true;22813539.30
1225;sea;34.83;true;46434657.35
1226;sea;36.93;false;7490894.17
1227;sea;37.88;false;16292692.88
1228;sea;34.26;false;21096303.56
1229;sea;37.84;true;44511167.45
1230;sea;31.78;true;40796799.19
1231;sea;35.02;false;47330428.11
1232;sea;35.88;false;32280817.57
1233;sea;39.09;true;30209765.97
1234;sea;31.87;true;27362766.78
1235;sea;32.79;true;28947345.14
1236;sea;38.92;false;23629381.93
1237;sea;37.60;true;15934012.09
1238;sea;32.43;false;8048631.32
1239;sea;35.07;false;38956467.43
1240;sea;35.52;true;42330956.07
1241;sea;34.51;false;29052592.33
1242;sea;38.96;true;43697300.70
1243;sea;32.56;true;10961723.10
1244;sea;30.90;true;5169994.21
1245;sea;32.98;false;17920125.83
1246;sea;38.36;true;38645898.79
1247;sea;39.85;false;28291540.16
1248;sea;33.21;true;10497706.59
1249;sea;30.87;false;38472046.52
1250;sea;38.66;false;28586165.36
1251;sea;33.65;true;42566724.72
1252;sea;31.92;false;22321386.77
1253;sea;38.26;false;32115846.60
1254;sea;31.00;true;31057580.61
1255;sea;31.22;true;21837351.61
1256;sea;39.19;false;12090159.96
1257;sea;34.40;false;30168443.08
1258;sea;33.67;true;45522069.31
1259;sea;31.05;true;33942759.11
1260;sea;33.27;false;17483390.69
1261;sea;31.82;true;36620207.24
1262;sea;30.81;true;28645797.49
1263;sea;35.78;false;10728807.90
1264;sea;35.41;true;42538247.40
1265;sea;35.87;true;46476562.57
1266;sea;33.55;true;41138541.92
1267;sea;31.56;true;27067228.76
1268;sea;35.62;true;16374320.32
1269;sea;38.14;false;14084854.57
1270;sea;39.11;false;30863330.72
1271;sea;36.28;true;31480530.39
1272;sea;36.57;true;7204390.62
1273;sea;39.07;false;17361344.53
1274;sea;38.37;true;41338328.32
1275;sea;31.99;false;25483121.16
1276;sea;35.21;false;48278177.55
1277;sea;32.22;true;35196338.03
1278;sea;35.17;false;34433609.73
1279;sea;37.22;false;49426661.12
1280;sea;37.96;true;11597134.87
1281;sea;36.04;true;18136719.25
1282;sea;37.96;false;23416373.86
1283;sea;31.84;false;19724560.80
1284;sea;36.66;false;21437679.99
1285;sea;34.76;false;37021110.15
1286;sea;33.65;true;41104207.84
1287;sea;37.16;true;8953583.72
1288;sea;30.91;true;18518603.29
1289;sea;31.95;false;18799746.52
1290;sea;31.32;true;9585222.67
1291;sea;33.34;true;33918869.06
1292;sea;34.72;true;38425481.59
1293;sea;33.69;false;22076055.74
1294;sea;39.06;false;42025638.80
1295;sea;30.30;false;43175816.79
1296;sea;31.42;true;40505512.27
1297;sea;33.37;true;16738011.11
1298;sea;36.93;false;12146444.74
1299;sea;30.57;false;47730351.40
1300;sea;34.19;true;6177199.56
1301;sea;39.40;false;13941485.84
1302;sea;31.01;false;43854002.15
1303;sea;34.82;false;41767374.99
1304;sea;36.85;false;6488805.51
1305;sea;36.88;true;49633429.32
1306;sea;36.96;true;33455410.22
1307;sea;31.68;true;25869286.61
1308;sea;35.42;false;13031782.73
1309;sea;34.49;true;19318436.72
1310;sea;31.65;true;18390698.99
1311;sea;30.74;false;36255974.42
1312;sea;38.24;true;43724080.14
1313;sea;30.34;false;6028320.41
1314;sea;33.03;true;21332062.32
1315;sea;32.86;true;22337608.45
1316;sea;36.91;false;40717025.34
1317;sea;37.87;false;37081267.45
1318;sea;33.78;true;48085391.66
1319;sea;37.19;false;22502037.07
1320;sea;30.00;true;15027198.90
1321;sea;34.50;false;47946494.04
1322;sea;39.02;true;27513060.07
1323;sea;36.66;false;29742281.95
1324;sea;31.11;false;5482022.86
1325;sea;33.62;true;9746712.10
1326;sea;33.87;true;32697702.07
1327;sea;36.30;false;35222190.21
1328;sea;36.87;true;8460372.00
1329;sea;33.52;true;37528140.82
1330;sea;31.13;false;22812200.05
1331;sea;39.17;false;14130458.01
1332;sea;37.21;false;44983724.38
1333;sea;37.71;true;45516546.83
1334;sea;37.84;true;17300634.25
1335;sea;35.33;false;16312895.41
1336;sea;38.50;true;22750065.27
1337;sea;31.51;true;24104817.90
1338;sea;32.46;false;26199800.08
1339;sea;35.71;false;28698853.14
1340;sea;33.94;false;7737429.95
1341;sea;34.36;true;34401301.15
1342;sea;37.20;true;14124591.69
1343;sea;31.28;false;21164580.92
1344;sea;37.71;false;46853798.01
1345;sea;37.61;false;31853019.80
1346;sea;37.86;true;36811336.31
1347;sea;30.94;true;8036715.19
1348;sea;31.13;false;41749846.21
1349;sea;33.56;false;10558613.10
1350;sea;35.33;true;48558577.53
1351;sea;33.10;true;24348564.47
1352;sea;37.28;false;34018006.32
1353;sea;30.00;true;6420168.93
1354;sea;31.85;false;47048764.26
1355;sea;35.77;true;27300969.41
