transport_id;transport_type;average_speed;available;max_capacity
2001;air;776.94;true;13229.56
2002;air;894.11;true;8364.26
2003;air;720.30;true;13328.96
2004;air;891.40;false;11445.71
2005;air;838.71;true;13934.14
2006;air;807.71;false;10242.22
2007;air;795.76;true;11702.52
2008;air;727.91;true;13526.79
2009;air;710.19;true;10934.98
2010;air;890.64;true;7102.78
2011;air;883.84;false;11831.95
2012;air;726.74;true;10150.64
2013;air;756.91;false;8197.11
2014;air;794.58;false;9683.07
2015;air;852.13;true;11482.30
2016;air;773.81;true;10432.08
2017;air;855.80;false;7625.86
2018;air;847.53;false;8238.30
2019;air;721.97;false;13031.37
2020;air;880.06;false;11892.01
2021;air;858.50;false;10144.77
2022;air;727.04;true;11131.45
2023;air;751.40;true;8056.15
2024;air;732.21;false;10049.07
2025;air;829.97;true;12512.33
2026;air;761.05;false;7253.97
2027;air;782.15;false;9812.99
2028;air;768.04;true;13403.90
2029;air;768.81;false;7638.92
2030;air;744.64;false;12025.73
2031;air;888.13;true;9480.13
2032;air;757.44;true;7895.83
2033;air;875.18;false;13935.83
2034;air;785.53;false;11555.63
2035;air;742.42;true;10339.41
2036;air;899.45;true;7754.00
2037;air;768.23;false;8322.99
2038;air;810.35;true;9249.23
2039;air;760.14;false;9411.33
2040;air;853.28;true;9873.71
2041;air;765.89;true;7273.88
2042;air;756.67;true;12581.45
2043;air;741.74;true;9924.29
2044;air;719.72;false;10168.21
2045;air;784.59;false;7789.88
2046;air;859.53;true;11727.89
2047;air;807.55;false;9475.25
2048;air;870.00;false;13812.03
2049;air;830.66;true;11371.71
2050;air;878.46;false;7401.64
2051;air;746.26;true;8129.82
2052;air;896.07;false;10485.96
2053;air;804.01;true;9321.93
2054;air;756.76;false;7713.94
2055;air;813.08;true;11563.98
2056;air;733.59;false;11225.41
2057;air;764.14;false;8176.88
2058;air;875.73;true;9185.89
2059;air;816.05;true;11254.93
2060;air;830.62;false;9623.50
2061;air;712.19;true;10830.64
2062;air;749.32;true;8242.83
2063;air;708.64;true;9421.28
2064;air;826.99;true;7560.56
2065;air;856.33;false;7015.61
2066;air;734.41;true;7250.85
2067;air;708.99;false;9176.39
2068;air;812.14;true;9476.73
2069;air;831.65;false;12176.56
2070;air;717.10;true;7201.24
2071;air;898.48;true;13446.46
2072;air;819.93;false;10791.69
2073;air;769.69;true;8619.00
2074;air;704.46;true;12771.74
2075;air;855.04;true;9077.92
2076;air;852.97;true;10639.80
2077;air;718.91;false;12132.61
2078;air;746.01;true;13735.99
2079;air;897.36;true;13214.63
2080;air;700.99;false;13374.12
2081;air;880.55;false;13498.05
2082;air;702.19;false;13891.93
2083;air;899.20;false;8996.19
2084;air;865.40;false;8311.94
2085;air;813.80;false;8181.28
2086;air;799.66;false;9795.95
2087;air;849.25;true;12432.65
2088;air;823.39;true;12973.64
2089;air;753.83;false;11785.88
2090;air;848.36;true;10369.22
2091;air;811.61;true;7939.73
2092;air;722.58;true;8947.53
2093;air;815.48;false;13414.94
2094;air;752.39;true;13113.00
2095;air;731.68;false;12941.82
2096;air;702.20;false;7029.33
2097;air;768.90;true;7305.70
2098;air;860.82;true;11729.96
2099;air;899.35;false;9399.61
2100;air;721.91;true;9441.25
2101;air;724.17;false;10043.88
2102;air;766.16;false;13153.77
2103;air;743.75;false;7183.87
2104;air;858.45;true;10775.77
2105;air;863.56;true;9972.16
2106;air;825.89;false;11812.09
2107;air;700.05;true;11271.92
2108;air;803.86;false;12224.76
2109;air;837.91;false;9824.81
2110;air;863.07;false;11612.77
2111;air;856.83;false;7467.69
2112;air;833.58;true;7687.09
2113;air;702.46;true;9348.74
2114;air;886.67;false;7130.38
2115;air;763.44;true;7643.21
2116;air;843.69;true;8034.97
2117;air;791.97;false;13107.02
2118;air;828.25;true;11911.31
2119;air;707.48;true;12012.46
2120;air;826.70;false;13492.29
2121;air;751.72;false;11094.02
2122;air;883.88;false;7424.65
2123;air;857.09;false;13617.52
2124;air;875.71;false;12899.34
2125;air;798.73;true;13007.91
2126;air;791.39;true;12677.02
2127;air;807.26;true;13949.54
2128;air;726.53;false;7826.75
2129;air;825.65;true;7203.30
2130;air;804.91;true;9639.74
2131;air;776.99;true;9791.46
2132;air;724.07;false;12136.46
2133;air;803.71;true;13097.87
2134;air;877.03;false;10963.31
2135;air;862.68;true;8663.45
2136;air;841.25;false;11912.89
2137;air;850.98;true;7779.80
2138;air;868.47;true;11994.49
2139;air;874.28;false;9897.30
2140;air;757.98;false;8300.35
2141;air;735.03;false;8721.84
2142;air;776.40;true;9530.31
2143;air;811.05;true;13988.18
2144;air;781.98;false;12656.96
2145;air;799.26;false;7728.23
2146;air;811.87;false;11152.83
2147;air;770.29;false;13077.13
2148;air;833.26;false;8250.62
2149;air;731.39;true;9395.17
2150;air;888.58;true;8301.48
2151;air;705.87;false;13362.09
2152;air;883.39;true;12150.94
2153;air;871.28;true;8978.56
2154;air;853.08;true;7860.68
2155;air;700.07;false;8984.28
2156;air;855.06;true;13983.01
2157;air;710.68;false;10266.94
2158;air;774.03;false;8816.37
2159;air;826.68;false;7338.44
2160;air;871.05;true;11410.04
2161;air;838.06;false;10418.08
2162;air;773.66;true;12798.04
2163;air;792.22;false;8077.88
2164;air;791.22;false;8567.79
2165;air;716.80;true;13479.30
2166;air;708.21;false;9090.49
2167;air;840.53;true;13467.36
2168;air;793.03;false;9267.05
2169;air;895.06;true;12915.06
2170;air;797.62;false;8258.06
2171;air;862.97;true;11754.66
2172;air;878.87;true;8980.33
2173;air;785.93;false;13507.66
2174;air;757.17;true;13142.93
2175;air;792.34;true;12982.96
2176;air;725.67;true;8373.84
2177;air;743.13;true;10325.50
2178;air;706.81;false;7235.57
2179;air;874.45;true;13049.30
2180;air;802.14;false;11672.85
2181;air;884.54;true;10798.58
2182;air;769.23;false;8476.53
2183;air;758.54;true;11945.23
2184;air;702.73;true;11155.35
2185;air;790.72;true;9181.22
2186;air;765.03;false;8600.83
2187;air;751.14;true;10023.21
2188;air;769.82;true;7210.38
2189;air;761.18;false;7752.07
2190;air;825.93;true;10886.52
2191;air;746.77;false;10575.18
2192;air;817.16;false;13607.86
2193;air;811.78;true;11959.63
2194;air;858.65;false;13264.59
2195;air;807.26;false;7755.06
2196;air;835.27;true;11548.32
2197;air;807.94;true;11020.81
2198;air;745.79;false;13078.17
2199;air;745.23;true;7563.99
2200;air;701.51;true;13747.19
2201;air;713.50;true;13606.46
2202;air;876.29;true;11543.19
2203;air;735.66;true;12133.02
2204;air;870.16;true;7502.08
2205;air;705.28;false;8876.04
2206;air;816.54;true;11049.18
2207;air;892.80;true;12204.33
2208;air;820.76;false;9264.65
2209;air;879.40;true;10977.82
2210;air;896.63;true;11884.23
2211;air;884.14;true;12133.80
2212;air;796.41;false;10497.06
2213;air;859.96;false;7715.68
2214;air;843.15;true;10884.86
