transport_id;transport_type;average_speed;available;max_capacity
3001;rail;69.69;false;6448.78
3002;rail;69.71;false;6110.17
3003;rail;67.22;false;12352.49
3004;rail;68.32;true;10128.43
3005;rail;65.96;false;11390.83
3006;rail;66.30;false;17786.86
3007;rail;68.46;false;6042.61
3008;rail;67.04;true;9289.33
3009;rail;65.74;false;12118.49
3010;rail;66.80;true;12600.95
3011;rail;68.46;true;10742.13
3012;rail;66.56;true;16583.43
3013;rail;67.51;true;11997.96
3014;rail;69.64;false;12359.02
3015;rail;69.19;false;14481.81
3016;rail;65.07;false;10693.04
3017;rail;68.49;false;10356.21
3018;rail;68.38;false;10035.81
3019;rail;67.66;false;10636.96
3020;rail;69.14;true;6466.81
3021;rail;67.24;true;16343.01
3022;rail;68.67;false;14922.56
3023;rail;67.62;false;13280.31
3024;rail;69.39;true;6902.99
3025;rail;66.64;true;16075.41
3026;rail;67.09;false;14425.65
3027;rail;68.57;false;13567.22
3028;rail;68.69;true;17448.39
3029;rail;69.69;false;13809.31
3030;rail;65.65;false;5676.45
3031;rail;66.91;true;13015.47
3032;rail;65.88;true;8760.03
3033;rail;67.09;true;11284.14
3034;rail;66.36;false;18041.94
3035;rail;65.55;true;16123.70
3036;rail;65.20;false;11939.61
3037;rail;66.85;true;7129.99
3038;rail;67.76;false;7287.30
3039;rail;68.28;false;18255.60
3040;rail;68.04;false;19896.68
3041;rail;68.08;true;7287.71
3042;rail;69.16;true;12271.40
3043;rail;67.97;true;9642.62
3044;rail;68.36;true;14636.58
3045;rail;69.22;false;18905.95
3046;rail;68.87;false;14685.51
3047;rail;67.66;false;13030.52
3048;rail;69.99;true;14032.89
3049;rail;65.40;false;17912.91
3050;rail;68.64;true;15780.04
3051;rail;69.71;false;10677.31
3052;rail;69.13;true;10718.31
3053;rail;66.51;true;17571.74
3054;rail;65.73;true;12531.39
3055;rail;65.24;false;11824.79
3056;rail;66.67;false;7607.77
3057;rail;69.83;true;11164.83
3058;rail;66.12;true;11369.56
3059;rail;65.21;true;14882.78
3060;rail;65.46;false;12091.08
3061;rail;66.18;true;11337.66
3062;rail;69.25;false;16725.50
3063;rail;69.31;false;7588.13
3064;rail;67.32;false;19067.73
3065;rail;66.96;false;5516.81
3066;rail;65.34;true;10437.95
3067;rail;66.77;true;13137.87
3068;rail;67.32;true;13781.02
3069;rail;68.07;true;12538.68
3070;rail;66.23;true;7428.04
3071;rail;67.22;true;17838.68
3072;rail;69.17;true;7030.78
3073;rail;67.82;true;8002.36
3074;rail;66.23;false;5241.14
3075;rail;68.67;false;9024.67
3076;rail;68.30;false;11924.38
3077;rail;66.91;true;14650.39
3078;rail;67.76;true;8988.24
3079;rail;65.85;false;9287.73
3080;rail;66.23;true;19498.36
3081;rail;67.05;true;7174.07
3082;rail;65.20;true;10349.63
3083;rail;69.18;false;13876.60
3084;rail;67.83;false;16009.00
3085;rail;66.89;true;10622.99
3086;rail;69.86;false;19329.47
3087;rail;68.00;true;17571.39
3088;rail;65.61;false;7943.28
3089;rail;67.22;false;7927.86
3090;rail;67.08;true;9505.42
3091;rail;67.46;true;6046.00
3092;rail;69.40;false;16184.21
3093;rail;66.97;false;10148.19
3094;rail;67.48;false;13985.48
3095;rail;67.34;true;11157.54
3096;rail;65.65;false;16927.54
3097;rail;65.18;true;15692.88
3098;rail;67.96;true;15127.88
3099;rail;69.29;false;5888.07
3100;rail;69.37;false;17567.52
3101;rail;65.01;false;14527.28
3102;rail;69.12;false;7664.39
3103;rail;69.54;false;17362.02
3104;rail;68.00;true;19613.89
3105;rail;66.82;true;9524.69
